2026-02-06 10:42:02.312230 - FACE_LOCKED: Face locked: Dieudonne
2026-02-06 10:42:03.177874 - SMILE: Smile detected (ratio: 229.85)
2026-02-06 10:42:03.285394 - SMILE: Smile detected (ratio: 2751.59)
2026-02-06 10:42:03.654698 - SMILE: Smile detected (ratio: 455.85)
2026-02-06 10:42:03.765919 - SMILE: Smile detected (ratio: 4938.19)
2026-02-06 10:42:04.045783 - SMILE: Smile detected (ratio: 48.46)
2026-02-06 10:42:04.418298 - SMILE: Smile detected (ratio: 56.15)
2026-02-06 10:42:04.599087 - SMILE: Smile detected (ratio: 844.57)
2026-02-06 10:42:04.788329 - SMILE: Smile detected (ratio: 709.47)
2026-02-06 10:42:04.968441 - SMILE: Smile detected (ratio: 385.27)
2026-02-06 10:42:05.315804 - SMILE: Smile detected (ratio: 212.71)
2026-02-06 10:42:05.586174 - SMILE: Smile detected (ratio: 260.78)
2026-02-06 10:42:05.767644 - SMILE: Smile detected (ratio: 326.45)
2026-02-06 10:42:05.865432 - SMILE: Smile detected (ratio: 1930.83)
2026-02-06 10:42:06.199497 - SMILE: Smile detected (ratio: 508.97)
2026-02-06 10:42:06.468321 - SMILE: Smile detected (ratio: 173.48)
2026-02-06 10:42:06.826022 - HEAD_RIGHT: Moved right by 12.8px
2026-02-06 10:42:06.826022 - SMILE: Smile detected (ratio: 81.13)
2026-02-06 10:42:06.927253 - HEAD_RIGHT: Moved right by 19.9px
2026-02-06 10:42:07.013804 - SMILE: Smile detected (ratio: 207.13)
2026-02-06 10:42:07.694963 - HEAD_LEFT: Moved left by 11.3px
2026-02-06 10:42:07.694963 - SMILE: Smile detected (ratio: 156.95)
2026-02-06 10:42:07.795072 - HEAD_LEFT: Moved left by 12.8px
2026-02-06 10:42:07.982562 - HEAD_LEFT: Moved left by 15.4px
2026-02-06 10:42:08.515033 - SMILE: Smile detected (ratio: 69.90)
2026-02-06 10:42:08.610981 - SMILE: Smile detected (ratio: 246.72)
2026-02-06 10:42:08.789637 - HEAD_RIGHT: Moved right by 12.7px
2026-02-06 10:42:08.885080 - HEAD_RIGHT: Moved right by 10.2px
2026-02-06 10:42:08.885080 - SMILE: Smile detected (ratio: 65.42)
2026-02-06 10:42:09.402504 - SMILE: Smile detected (ratio: 78.90)
2026-02-06 10:42:09.683237 - SMILE: Smile detected (ratio: 552.56)
2026-02-06 10:42:09.775889 - HEAD_LEFT: Moved left by 10.5px
2026-02-06 10:42:09.775889 - SMILE: Smile detected (ratio: 6538.36)
2026-02-06 10:42:10.770970 - SMILE: Smile detected (ratio: 68.15)
2026-02-06 10:42:10.869239 - SMILE: Smile detected (ratio: 299.34)
2026-02-06 10:42:10.952485 - SMILE: Smile detected (ratio: 748.22)
