2026-02-01 21:08:41.223661 - FACE_LOCKED: Face locked: Dieudonne
2026-02-01 21:08:41.968940 - SMILE: Smile detected (ratio: 24.57)
2026-02-01 21:08:42.861371 - HEAD_RIGHT: Moved right by 11.6px
2026-02-01 21:08:43.644506 - HEAD_LEFT: Moved left by 12.0px
2026-02-01 21:08:44.124506 - HEAD_LEFT: Moved left by 20.0px
2026-02-01 21:08:44.255619 - SMILE: Smile detected (ratio: 84.48)
2026-02-01 21:08:44.616461 - HEAD_RIGHT: Moved right by 29.6px
2026-02-01 21:08:44.891721 - HEAD_LEFT: Moved left by 33.3px
2026-02-01 21:08:44.891721 - SMILE: Smile detected (ratio: 10.50)
2026-02-01 21:08:45.228323 - HEAD_RIGHT: Moved right by 27.0px
2026-02-01 21:08:45.346569 - HEAD_LEFT: Moved left by 20.3px
2026-02-01 21:08:46.107250 - HEAD_LEFT: Moved left by 32.7px
2026-02-01 21:08:47.223405 - HEAD_RIGHT: Moved right by 42.8px
2026-02-01 21:08:47.355323 - HEAD_RIGHT: Moved right by 13.4px
2026-02-01 21:08:47.355323 - SMILE: Smile detected (ratio: 25.86)
2026-02-01 21:08:48.144215 - HEAD_LEFT: Moved left by 17.6px
2026-02-01 21:08:48.508208 - HEAD_LEFT: Moved left by 70.3px
2026-02-01 21:08:49.401808 - HEAD_RIGHT: Moved right by 97.2px
2026-02-01 21:08:49.830790 - HEAD_RIGHT: Moved right by 17.3px
2026-02-01 21:08:50.193818 - HEAD_LEFT: Moved left by 14.6px
2026-02-01 21:08:50.364553 - HEAD_LEFT: Moved left by 14.0px
2026-02-01 21:08:51.874121 - HEAD_RIGHT: Moved right by 11.0px
2026-02-01 21:08:51.874121 - SMILE: Smile detected (ratio: 26.75)
2026-02-01 21:08:52.227130 - HEAD_RIGHT: Moved right by 14.0px
2026-02-01 21:08:52.418947 - SMILE: Smile detected (ratio: 35.24)
