2026-02-06 10:44:21.372211 - FACE_LOCKED: Face locked: Dieudonne
2026-02-06 10:44:22.348218 - HEAD_RIGHT: Moved right by 10.4px
2026-02-06 10:44:22.348218 - SMILE: Smile detected (ratio: 64.41)
2026-02-06 10:44:22.540627 - HEAD_RIGHT: Moved right by 16.0px
2026-02-06 10:44:22.540627 - SMILE: Smile detected (ratio: 197.61)
2026-02-06 10:44:22.885998 - HEAD_LEFT: Moved left by 29.0px
2026-02-06 10:44:22.971216 - HEAD_LEFT: Moved left by 22.0px
2026-02-06 10:44:23.244346 - SMILE: Smile detected (ratio: 3610.25)
2026-02-06 10:44:23.434201 - HEAD_RIGHT: Moved right by 13.0px
2026-02-06 10:44:23.712766 - HEAD_LEFT: Moved left by 21.2px
2026-02-06 10:44:23.895985 - HEAD_LEFT: Moved left by 13.5px
2026-02-06 10:44:24.146210 - SMILE: Smile detected (ratio: 211.82)
2026-02-06 10:44:24.331343 - HEAD_LEFT: Moved left by 13.7px
2026-02-06 10:44:24.331343 - SMILE: Smile detected (ratio: 142.46)
2026-02-06 10:44:24.523437 - HEAD_LEFT: Moved left by 10.6px
2026-02-06 10:44:24.616048 - SMILE: Smile detected (ratio: 146.47)
2026-02-06 10:44:24.894853 - SMILE: Smile detected (ratio: 188.08)
2026-02-06 10:44:25.161847 - SMILE: Smile detected (ratio: 50.40)
2026-02-06 10:44:25.435143 - SMILE: Smile detected (ratio: 127.39)
2026-02-06 10:44:25.614219 - SMILE: Smile detected (ratio: 146.78)
2026-02-06 10:44:26.314754 - SMILE: Smile detected (ratio: 134.72)
2026-02-06 10:44:26.656324 - SMILE: Smile detected (ratio: 171.12)
