2026-02-06 10:41:30.656947 - FACE_LOCKED: Face locked: Dieudonne
2026-02-06 10:41:37.401362 - HEAD_LEFT: Moved left by 18.6px
2026-02-06 10:41:37.511658 - HEAD_LEFT: Moved left by 21.8px
2026-02-06 10:41:37.635632 - HEAD_LEFT: Moved left by 19.0px
2026-02-06 10:41:37.951408 - HEAD_RIGHT: Moved right by 22.2px
2026-02-06 10:41:38.066248 - HEAD_RIGHT: Moved right by 30.6px
2026-02-06 10:41:38.066248 - SMILE: Smile detected (ratio: 52.18)
2026-02-06 10:41:38.169771 - SMILE: Smile detected (ratio: 88.52)
2026-02-06 10:41:38.267428 - HEAD_RIGHT: Moved right by 31.6px
2026-02-06 10:41:38.385144 - HEAD_RIGHT: Moved right by 34.4px
2026-02-06 10:41:38.826172 - HEAD_LEFT: Moved left by 16.6px
2026-02-06 10:41:38.826172 - SMILE: Smile detected (ratio: 161.94)
2026-02-06 10:41:38.925589 - SMILE: Smile detected (ratio: 665.06)
2026-02-06 10:41:39.010769 - HEAD_LEFT: Moved left by 17.2px
2026-02-06 10:41:39.450964 - HEAD_LEFT: Moved left by 14.4px
2026-02-06 10:41:39.638126 - SMILE: Smile detected (ratio: 275.20)
2026-02-06 10:41:41.278872 - SMILE: Smile detected (ratio: 155.10)
2026-02-06 10:41:41.375104 - SMILE: Smile detected (ratio: 434.04)
2026-02-06 10:41:42.775177 - SMILE: Smile detected (ratio: 95.40)
2026-02-06 10:41:42.869254 - SMILE: Smile detected (ratio: 151.99)
2026-02-06 10:41:42.968745 - SMILE: Smile detected (ratio: 323.29)
2026-02-06 10:41:43.247448 - SMILE: Smile detected (ratio: 120.30)
2026-02-06 10:41:43.505563 - SMILE: Smile detected (ratio: 443.51)
2026-02-06 10:41:43.862802 - SMILE: Smile detected (ratio: 187.72)
2026-02-06 10:41:43.965068 - SMILE: Smile detected (ratio: 798.76)
2026-02-06 10:41:44.348875 - HEAD_RIGHT: Moved right by 15.3px
2026-02-06 10:41:45.726236 - SMILE: Smile detected (ratio: 133.17)
2026-02-06 10:41:45.832621 - HEAD_LEFT: Moved left by 10.7px
2026-02-06 10:41:47.650430 - HEAD_LEFT: Moved left by 19.6px
2026-02-06 10:41:47.650430 - SMILE: Smile detected (ratio: 29.34)
2026-02-06 10:41:47.854102 - HEAD_LEFT: Moved left by 20.6px
2026-02-06 10:41:48.107457 - HEAD_LEFT: Moved left by 25.4px
2026-02-06 10:41:48.107457 - SMILE: Smile detected (ratio: 1247.90)
2026-02-06 10:41:48.853876 - HEAD_LEFT: Moved left by 19.3px
2026-02-06 10:41:48.853876 - SMILE: Smile detected (ratio: 90.91)
2026-02-06 10:41:48.962651 - HEAD_LEFT: Moved left by 11.4px
2026-02-06 10:41:49.061842 - SMILE: Smile detected (ratio: 375.95)
2026-02-06 10:41:49.163545 - HEAD_LEFT: Moved left by 13.1px
2026-02-06 10:41:49.350059 - SMILE: Smile detected (ratio: 80.77)
2026-02-06 10:41:49.441305 - HEAD_LEFT: Moved left by 19.5px
2026-02-06 10:41:49.622259 - HEAD_LEFT: Moved left by 24.9px
2026-02-06 10:41:49.728276 - HEAD_LEFT: Moved left by 21.2px
